"","titles","names","dates","ratings","reviews"
"133"," Yes! The last of the ""LotR"" series, and this one's the best!
","sethn172","20 February 2006","
            
            10/10
            
    ","
                Before I started college, I watched a bunch of DVDs, including all the original versions of Peter Jackson's ""Lord of the Rings"" trilogy. I liked part 1: ""The Fellowship of the Ring,"" and part 2: ""The Two Towers"" was not the best of the trilogy, but at least everything was set up for this movie - the final chapter in the trilogy! Back when I saw this for the first time on DVD, this was the third best movie ever made (now this is the 4th best movie ever made with ""The Godfather: Part II"" taking that spot, another movie I plan on watching in the future) and this is the best action movie ever made according to this website. I definitely agree - all the action sequences are breathless! However, the very last 20 minutes of this film were too slow for me - but at least that meant that all good things must come to an end, huh? It also shows that the three parts had a connection which flowed very nicely: starting at the bottom, then going up to the climax, and then going back down again.Before you watch this movie, I must warn you that this movie is 3 hours and 20 minutes long! Here's my plan: watch a part a day; this will make watching ""Lord of the Rings"" more exciting! And be sure that you're watching the original movies first. If you like DVDs and watching action films, then these movies are right for you.
                
                    5 out of 8 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"134"," A Saga Brought To Life - Peter Jackson's 'Lord of The Rings.'
","saoodwajeedshaikh","5 March 2022","
            
            9/10
            
    ","
                'The Lord of The Rings' by J. R. R Tolkien is probably the most eloquent, elaborate and seminal piece of fiction ever written. The Saga is 6 Books long, a rich narrative with Maps, Poems and Ballads, which is brought to life by the auteur Peter Jackson in his Lord of The Rings Trilogy.The Lord of The Rings is the fable of Frodo Baggings and his misadventures leading finally to the destruction of the One Ring of Power. It is a tale of Friendship, Loyalty, Betrayal, Politics, War, and much more - An Epic of our Time.Peter Jackson through his Trilogy pays homage to Tolkien. Jackson is the Pupil and Tolkein is the Master, and the Trilogy is Jackson's reverence to Tolkien. He through his artistic genius gives colour to this fictitious world of Dwarves, Elves, Men, Hobbits, Orcs, Nazgûl's and The Dark Lord. He gives face to its various people, and brings to screen their tribulations, their emotions, their misgivings, their endeavours and its outcomes.The Trilogy is divided into 3 Parts - 'The Fellowship of The Ring', 'The Two Towers' and 'The Return of The King'. The films portray the adventures of the hobbit Frodo Baggins (Elijah Wood) of the Shire and the Fellowship which was convened in the Council of Elrond under Lord Elrond (Hugo Weaving) in Rivendell. The Fellowship consisted of the Hobbits Frodo Baggins (Elijah Wood), Samwise Gamgee (Sean Astin), Peregrin Took (Billy Boyd) and Meriadoc Brandybuck (Dominic Monaghan), the Elf Legolas (Orlando Bloom), the Dwarf Gimli (John Rhys-Davies), the Wizard Gandalf (Ian McKellen), and of the race of Men Aragorn (Viggo Mortensen) and Boromir (Sean Bean). These 9 compromised the Fellowship who embarked from Rivendell on a quest to destroy The One Ring in the Fires of Mount Doom where it was yielded by Sauron 'The Dark Lord' (Alan Howard), the only place where it can be undone. The destruction of The One Ring ensures the destruction of Sauron. The Fellowship eventually splits up and Frodo continues the quest with his loyal companion and friend Sam and the treacherous Gollum (Andy Serkis). Meanwhile, Aragorn, heir in exile to the throne of Gondor, along with Legolas, Gimli, Boromir, Merry, Pippin and the wizard Gandalf, unite to save the Free People of Middle-earth from the forces of Sauron and rally them in the War of the Ring to aid Frodo by distracting Sauron's attention. The saga ends with the destruction of The Ring along with The Dark Lord, Aragorn being anointed King of Gondor and the Hobbits retiring back to the Shire. In the Shire, Frodo completes the account of his and Bilbo's (Ian Holm) Adventures and undertakes the journey to the Undying Lands on an Elven Ship leaving Middle Earth along with Lord Elrond, Gandalf and an old and senile Bilbo.Each film of Peter Jackson's Trilogy is approximately 3 hours long (The Director's Cut being 4 Hours). Despite being protracted, Peter Jackson manages to keep the viewer enthralled and on the edge of his seat during the whole viewing. Despite this, Jackson couldn't cover the whole range of Tolkien's work. On reading Tolkien's books, one realises, a myriad of events have not been depicted in the films. To give an example, The Wild Men of The Woods 'Drúedain' haven't been portrayed in the films nor have they received mention. The Chief of the Drúedain guided King Theoden's Army of Rohirrim through the Secret Pass of Stonewain Valley to avoid being attacked by the Orcs so that they could safely reach Minas Tirith for aid. This event is described by Tolkien in the Chapter 'Ride of The Rohirrim' in book 5. In another example, the Hobbits journey through the Old Forest and how they were assisted by Tom Bombadil. This too has been skipped in the films.Jackson has taken certain Creative Liberties while creating these films (Most probably, I reckon for emphatic effect). Jackson at certain instances has strayed from Tolkien's work and imposed his own ideas into the narrative. For example, in the films, it is Arwen (Liv Tyler) who rescues Frodo from the Nazgûl's after he was stabbed on the Tower of Amon Sul and brings him to Rivendell where he is healed by the Elves. However, in Tolkien's narrative, it is the elf Glorfindel who assists Frodo reach Rivendell in time. Another such instance is in regards to 'Narsil' - The Sword That Was Broken. According to Jackson's Films, the Shards of Narsil were kept safe in Rivendell until they were reforged into Andúril, and was brought to Aragorn by Lord Elrond himself. In Tolkien's work, the shards of Narsil are passed down as heirloom by the heirs of Isildur, the last owner being Aragorn. Before the Fellowship departs from Rivendell, Narsil is reforged into Andúril and is carried by Aragorn.If he were alive I do not know how Tolkien would react to these changes in the narrative. However, despite these creative liberties by Jackson, his Trilogy is, till date, the best adaption of Tolkien's work.The impeccable Casting of characters is what makes the Trilogy live up to the hype. Ian MacKellen and Andy Serkis have to be specially mentioned for their portrayal of Gandalf and Gollum respectively. Jackson has even managed to include poems and ballads from Tolkien's narrative into the films in the form of Songs. These songs are backed up by a brilliant Music Composition which is surreal and mystifying. Apart from these, it's the Visual Effects which make the film truly stand out.The Trilogy truly does justice to Tolkien's genius. It is nothing short of a Masterpiece. The 11 Academy Award wins by the Third Film of the Trilogy -'Return of The King', proves the same. With these 11 wins, it ties with Ben-Hur and Titanic for the most awarded Film in Academy History, a feat in it's own. Today, nearly 2 decades after the release of the last instalment, the Trilogy has attained a Cult status among fans and its popularity keeps on waxing. The Trilogy just might prove to be one of the few works of art that stand the test of time.A Review by -
Mohammed Saood.
                
                    3 out of 3 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"135"," Jackson makes best of three with smart appreciation of entertainment
","Stampsfightclub","30 June 2009","
            
            9/10
            
    ","
                Frodo, Sam and Gollum continue their quest for Mordor to destroy the one ring while the Battle for Middle Earth rages on.The final part of Peter Jackson's epic trilogy was at the time, the highest grossing film ever to grace our screens and up until this film, fan hype and speculation was rightfully anticipating how the magician Jackson would conclude the wonderfully courageous adaptation of J.R.R Tolkien's novel.The previous release, The Two Towers, was showcased by an eccentric display by the director, orchestrating a once more beautifully cinematic approach to scenery and balancing it with a blend of tight and exciting war and fantasy concepts. He proved The Fellowship was no fluke and maintaining his flow in the sequel, the New Zealander was able to carry forth this momentum into the final part with the same vigour and energy as his previous two smashes. There are certainly cases here for the best shots of the entire trilogy. When Frodo is walking slowly and there is a huge spider looming makes great tension but, on a personal level, the best part of the entire series comes near to the end when Frodo and Sam are so very close to banishing the ring for good, and with one simple close shot, Jackson captures Frodo's feelings of desire and madness, which makes for a heart stopping and riveting twist.Peter Jackson has certainly taken the magic of the novels and twisted and shot them into fan's favourites. The complexity of the battle sequences, the close eye upon constant political and action ideologies and weaving a tight knot around such a huge crew is a fantastic achievement and is only bettered by the fact he has made the legendary books into films for anyone of any age, for anytime of the year and for any situation. There is humour, romance, action, war, drama and significantly a wonderful sense of escapism with the fantasy genre, astounding stuff to recapture the critically acclaimed mind of J.R.R Tolkien's work.One huge input into the success which still has fans in awe is the CGI Andy Serkis who blew audiences away with that voice and self manipulation. Smeagol opens proceedings here as his friend discovers the one ring at the bottom of the lake. Up to this stage we are fully aware of the ring's pull over Gollum, but there is a delightful shock in store when the real Andy Serkis sets his eyes upon it in his friend's hand. A wonderfully cut montage sees Gollum up the present and his still changing debate over how his master affects him.Like the previous two films, there are multiple stories with the fellowship in the battle for Middle Earth, Frodo and Sam on their quest whilst there are numerous activities in the different parts of the country. The multiple concepts and issues flying around are smartly condensed into manageable moments of brilliance. Jackson has easily made the best of the three here, and rightfully and finally clinched his Oscar.
                
                    3 out of 4 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"136"," The best in the trilogy and perhaps one of the best films of all time.
","russem31","24 December 2005","
            
            10/10
            
    ","
                The Lord of the Rings: The Return of the King tops the first two films that came before it (The Fellowship of the Ring and The Two Towers) - which is no easy feat considering the first two were near perfect films in their own right! Director Peter Jackson really has a passion and understanding for film-making and the beloved The Lord of the Rings books by J.R.R. Tolkien. Considering this film is the longest of the three, it would have been easy for any other filmmaker to make this film long and boring - only Peter Jackson could have successfully continually make it exciting (with only the very end of the film dragging on just a little bit). Again, an special mention goes to the cast (kudos to Sean Astin as Sam) and composer Howard Shore (whose theme for Gondor is one of the most majestic themes ever composed). A PERFECT 10 out of 10 (the first 10 out of 10 movie on the IMDb that I reviewed BTW!).
                
                    4 out of 6 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"137"," Come on, people, it was the end of the line!!!
","RiffRaffMcKinley","23 February 2006","
            
            10/10
            
    ","
                Yes, it tests your bottom. Yes, it gets sentimental, boring, and weird, but how could you not enjoy this movie? (If you follow the movie law of averages, 60 bad minutes out of a 200-minute movie still equals a really good 140-minute movie). Truthfully, when I watch the DVD, I do skip through all those parts with Frodo, Sam, and Gollum (except in the tower of Cirith Ungol-- ""Not if I stick you first!""). However, it was really stunning and it had an almost inspiring ethereal mist about it. Also, if you watch it on DVD for the first time, the extended version is definitely what you should start off on if you plan to go back and watch the original theatrical as well (they cut a few minor, but good, things out). To the point, this movie is certainly something Tolkien would have had positive things to say about. And isn't that why filmmakers turn books into movies in the first place?
                
                    5 out of 8 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"138"," Best Picture of the Year? Give me a break..
","ichabod81","30 May 2004","
            
            7/10
            
    ","
                Man, and you thought Titanic was cheesy?! When I first saw this film on the big screen, the multiple endings bothered me only a little. Now that I saw it for the second time, they simply outraged me. Best adapted screenplay, best director and best picture of the year all went this way. This time: not deserved. The Return of the King ends five times. FIVE TIMES!! I don't give a good goddamn if it was that way in the books too. I never read them. And that gives me a good position to rate this as a film and not a screen adaptation.Every single time Elijah Wood laughs in this movie (in the entire trilogy actually), I almost throw up. Couldn't they make it any more cheesier?! Especially stomach turning is the scene at the end of the RotK, where they all laugh and hug by Frodo's bed. OF COURSE in slow motion to add a little more sappiness. Plus the scene where their journey has ended and they all sit in the pub and skål their pints together.. check out the expression on Wood's face. So cheesy I laughed my a** off.The most worrying thing about all of this is that without the cheesiness and the multiple endings, this would've really been a great movie. I don't love them, but I do like these films. And it was such a tasteless display of drama from the academy to pretty much dismiss the two previous movies and award the last and most tasteless one in spades. It made the whole thing feel like the ""Russell Crowe-syndrome"", as I like to call it. They didn't award him the statue for The Insider, but instead for Gladiator the next year, because they probably felt so guilty. Maximus after all was clearly a more easier role than Wigand and didn't deserve the award as much.I can see why so many love this film and embrace it, but people, eleven Oscars? No.** / *****
                
                    28 out of 63 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"139"," My brief review of the film
","sol-","8 January 2004","
            
            4/10
            
    ","
                The third and final part of the Lord of the Rings trilogy, this is an entry that is once again visually impressive to the point of perfection, but also once again with little substance. Nevertheless, the film is to able better its predecessors in two key areas. It is less monotonous than the first two, and the characterisation is better than in the first two. However, by now better character development is of no use; the story has developed much too far without effectively involving the viewer. It is almost like a pretentious effort to suck in the viewers in the final part who were warded away earlier on by poor character development. Another point worthy of noting is that it is not overlong this time  that would be an understatement. It is severely overlong. The producers just do not know how to end a film. There are so many points when you think you have reached the closure that the whole last half hour is completely anticlimactic. To look at the films in perspective, they are all of about the same in quality, which is no surprise: they are just different cuts of one long film. All are above average films, as they have interesting technical elements. But they are not successes, because the writing is not up to the standard of the other aspects of the film. Adapting to the screen Tolkein's story was a massive task, and it did require a lot of effort, but what one looks for when assessing a film is was it successful? Film critique for me is about rewarding success  not how much effort one puts in. It is impossible to deny how much effort the whole cast and crew went to in order to produce this spectacular looking film, but they only ever half-succeeded in capturing the magic of Tolkein's tales.
                
                    31 out of 82 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"140"," Many variations from the book, but still masterful.
","garryglaubtennis","6 December 2003","
            
            10/10
            
    ","
                Don't worry...this won't contain any spoilers.  I just returned from attending a showing of the movie in Palm Springs, including a witty talk by Sir Ian McKellan.  I am ""one of those"" fans of Tolkien, who has read the books numerous times.  I was truly disappointed with what Peter Jackson did to Faramir in ""The Two Towers,"" but also realize there is a difference between film and novel in time to develop characters.  Additionally, Jackson felt a need to make the relationship between Aragorn and Arwen stronger, to attract more viewers.In ""The Return of the King,"" he stays pretty true to the book.  Though I personally disagree with creating a new storyline when time is of the essence (don't add, instead subtract, or combine characters and traits), regardless, I thoroughly enjoyed the third in the series.  I might follow this up in a few weeks, with more to the point comments, but as the release date isn't for almost two weeks, it would be unfair to comment more than I have.For those who have never read the books, you will love it.  For those who read the books long ago and don't remember details, you also will love it. For those who are huge fans of the books and remember every detail, parts will annoy you.  Yet, my guess is most of you will still remember that Jackson has done a fine job in depicting the works of Tolkien, with great special effects and characterization of a majority of the ensemble cast. Some of you won't get past those changes, but most of you will love it even with the somewhat flawed changes.
                
                    9 out of 10 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"141"," A Masterpiece
","fsyazh","15 April 2021","
            
            10/10
            
    ","
                I remember watching this movie for the first time when I was 12 years old. It was New Year's Eve. I sat next to my PC, brought a whole bottle of white wine for some reason and watched the whole trilogy until the morning. Needless to say I also got drunk for the first time. Best experience ever :D.
                
                    7 out of 7 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"142"," Not a bad movie, but not as good as the other two
","Nick-290","6 January 2004","
            
            9/10
            
    ","
                I read LOTR for the first time about 25 years ago, at a time when you had to look for the book in the darkest corner of your local bookstore. It was a time when reading SF or Fantasy resulted in funny looks from your pals, and raised eyebrows from your teachers.Now Peter Jackson turned this book into a mass phenomenon, and it is suddenly very trendy to out yourself as a LOTR fan. I have watched the directors cut of the first two parts at least ten times on DVD. Both extended versions are very good, and I do not know which one to prefer. My expectations for the third part were of course very high. After all, Peter Jackson liked it best, so it should be the best part of the trilogy.However, I do not think it is better than the first two parts. It is certainly a very good movie, but there are parts, which I did not like. This review contains spoilers, is more a nit picker's comment, and may also not be very helpful for people without a certain background knowledge of the books of Tolkien.1. Intro: Each of the three parts starts with an intro. In the first we see and here the background story on the war against Sauron with Gil Galad and Elendil. Brilliant. In the second, we see Gandalfs fight with the Balrog to a wonderful soundtrack. Brilliant. And in the third? Smeagols transformation into Gollum, mainly pretty disgusting...and not necessary for the understanding of the plot (we heard all about that already in the second part). Also, I found the acting not convincing. All together a week start, and not in the same league as the first parts.2. Isengard scene: Where was Saruman? What was that scene for? Just for Pippin to find the Palanthir in the muck? I surely hope that we get to see more on the DVD.3. To much of weary, dirty hobbits in the mud. The pacing is pretty slow, Gollum's schizophrenia was well established in part II. Not necessary for the plot and the movie.4. Arwen: My most loathed character of all three movies. Named third in the credits for a few unnecessary scenes. She acts like a young American girl (what she is) and not like a three thousand year old grand-grand-grand-grand-grand-grand-grand-grand-aunt of Aragorn. What a difference in the few scenes we see with Galadriel!5. Aragorn: The title is the Return of the king. However, Aragorn does not get much to play this role. In the book, he challenges Sauron in the Palanthir and announces his return, whilst in the movie, he can barely hold the thing, and gets unconscious looking at it. I look forward to the DVD to hear Jacksons explanation of this unnecessary change. Also the path of the death story line is not convincing. If you read this in the book, it has a different flavour to it. The Death never fought in Minas Tirith, but for the movie it may have been useful, since it allowed to clean Minas Tirith of Orcs within a few seconds (Orcs, who had no business being there in the first place!). The unforgivable omission in Aragorn's character is that they did not show him as a healer. The Hands of the King are the Hands of a Healer. This is one of the most important parts of the third book, because it establishes Aragorn's right to the throne of Gondor, and gives him almost God like powers. To leave that out whilst wasting so much time on other redundant parts is very sad.6. Battle scenes: I must admit that the attack of the Rohirim is one of the best scenes in all three movies. (and Theoden a much better king than Aragorn, it was the other way round in the Two Towers! So Aragorn did not develop whilst Theoden did). But there is too much fighting. Too many lovely details of Orc gimmicks. From a story tellers point of few, the siege of Minas Tirith (saved by the cavalry!) is a larger copy of the siege of Helm's deep (saved by...the cavalry). In the book, the focus is not so much on this battle. It is a small part of the Return of the King (albeit a highlight), but in the movie, the battle seems to never end, the Orcs conquer almost the entire city (they do not even enter in the book), and Gandalf has lost his superior, god like powers of the book (after all, he is a Maiar, a sort of lesser angel), except in his lonely charge to help the returning Faramir.7. Denethor: What a caricature of the figure in the book! The steward is portrayed as a Shakespearean Richard III type villain, who is totally mad. Nobody bothers to explain, that he is fighting with Sauron in his personal Palanthir (just to have the power to look into such a thing repeatedly and NOT betray his people is something in his favour...)8. The fight with the Witch king: Very good movie adaptation, but still one of Tolkien's inconclusive scenes. At Amon Sul in the first movie, Aragorn chases away the witch king and four other wraiths with a burning stick and a lesser sword (although the ONE Ring was within inches of their grasp!). On the Pellenor field, the same Witch King is almost as powerful as Sauron himself, and no man can kill or defeat him. Why and where has he gained so much power?9. In the trailer we see Theoden knighting Merry on the top of Edoras. Did I miss this in the movie?10. Shelop's Lair. All together a very good adaptation, three nit picking comments: Shelop smells strongly in the book, so it is unlikely she could sneak up on Frodo like in the movie. In the movie she stings him in the chest or back (clearly in the middle of his body). But there he should be protected by his Mithril chain mail! Also, Sam could not get the ring out without destroying the cocoon.11. Finally, why on Middle earth did they not use the eagles in the first place for this quest? I am sure Gwaihir, or what his name is, would be understanding enough to fly Frodo from Rivendell to Mordor, if this would save Middle Earth. But this is of course a question, I should have asked Tolkien 25 years ago...Bottom line: I will wait eagerly for the extended DVD. Hopefully (as before with Lorien in part I and Treebeard in part II), this will add the much needed depths to the movie.
                
                    8 out of 13 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"143"," Steaming...
","jay4stein79-1","25 October 2004",NA,"
                The Lord of the Rings Trilogy reminds me of something with which I am quite familiar as a long-time denizen of Central New York: a steaming pile of horse manure. You know, that sickly sweet smell, wafting across hills on a summer breeze. Some people find the scent pleasant. I disagree.Likewise with LOTR. It seems Peter Jackson confused everyone into thinking that this series was something epic, something gargantuan, something important. Really, though, it's not. Yes, it is epic and it's long too, but it's not an important cinematic event. In fifty years, I dare say it'll be forgotten along with Titanic. You remember that plate of tripe, don't you? No, by the time I'm lying prostrate on a hospital bed, these three movies will have long been expunged from my memory and the memories of most others.You see, Mr. Jackson somehow forgot to concoct an interesting story when he drafted his endless (and often excruciatingly dull) battle scenes. There is, really, no character development to speak of. Frodo and Sam remain one-dimensional throughout and what depth Jackson gives them is cursory. And the rest? I have a difficult time keeping them straight.I'm sorry, Ringies, this movie just isn't that good. Maybe it's the glossy coating. See, I love Star Wars and, to be fair, many of the criticisms I've leveled against LOTR could also be leveled against George Lucas' films. Oh, and when I say Star Wars, I speak of the original trilogy. Yet, for all it's craftsmanship, the original Star Wars films were sort of clunky. You could tell that they were models made by hand, sets made by hand, costumes made by hand. It looked like a B-movie and felt like a B-movie and it was a B-movie, albeit one with great set design, costumes, effects, etc. LOTR really is a B-movie as well. Or at least it would have been 50 years ago. Yet, in today's market, it gets gussied up, made into an A-picture and it doesn't deserve it. I'm sorry, I just don't find this movie all that good and you'll never convince me otherwise.5/10 - Three points for tree-beard or whatever his name is and two for the ambition to even film it.
                
                    12 out of 25 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"144"," IMDb's Number FIVE?
","jzappa","27 March 2007","
            
            6/10
            
    ","
                Though certainly an improvement upon the second film in this already classic trilogy, I must say I am shocked that of all the incredible films I could name right off the top of my head that could be sitting in the fifth position in IMDb's list of Top 250 Highest Rated Films, this is the one that's sitting there. I know I'm quite tardy in my viewing of this movie, and I've known of its sky-high praise for the four or five years it's been in release, and I thought that even though the subject matter, as I explained in my reviews of the preceding two Lord of the Rings films, is not my cup of tea, I would see what everyone else sees in these movies. I was very fond of the first one, I was grateful when I saw the ending credits of the second one, and though I found myself entertained more than the second one by the third one, I was even more grateful when the final credits arrived. I will start with what I liked: The battle sequences in this film were much better than the ones in its predecessor. I thought the second film's battles were lame and this time around, they had a lot of intensity, and I found myself drawn in. Where I found myself riveted was during the climax, the fate of the ring to be determined on a coarse cliff over molting lava, and everything unexpected happens and all of the present characters in the scene have tension that finally culminates and releases, and I finally truly found myself caring about the ring, even if it doesn't make sense that Shalob can stink Frodo through a supposedly impermeable vest.But now, let's get down to brass tacks about the denouement. I have never seen a movie that ends as many times as The Lord of the Rings: The Return of the King. After awhile, I was counting the ""final"" scenes. Counting! Then, I found myself shocked that I had given up on counting. Who counts endings to one movie? I cannot stand a badly paced film. I've always thought of directors like Peter Jackson as directors who are particularly good at keeping a brisk pace, no matter how long the movie is. But, not only do his endings lag in this single film, but they are plagued further by two horrible things: 1) Every time one ending closes, it fades out and the screen remains black for several seconds. Then it fades up again, having fooled you and the interest that causes you to stay with a film to the end has left. This happens every-single-time-the-movie-makes-you-think-it's-ending. 2) After awhile, this series of endings becomes intensely contrived and meaningless. We don't need to see most of the things that happen! And if Jackson still wants us to see what happens to these characters, as these things must in J.R.R. Tolkien's novel, he should pace it better so that it does not feel stretched, tacked on, or contrived. Perfect way to achieve this: Get rid of the deceptive fade-outs!I enjoyed The Fellowship of the Ring, and I suppose the last two films had their moments, but all I can say is that I am glad that I'm finished with this trilogy and that I don't have to worry about seeing them ever again.
                
                    17 out of 42 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"145"," Still black and white. But the spider's cool.
","kiwikwi","17 December 2003","
            
            6/10
            
    ","
                Not surprisingly, a lot of good plot had been removed from the story, and a lot of bad plot inserted. This is hardly news; the same happened to the two predecessors. Much was lost by skipping ""The Scouring of the Shire"". The computer graphics are well-done but rarely convincing, and Gollum's only task is to provide comic relief. Most of the audience seemed to find him quite funny. I was just bored.Tolkien's books told a great story basically about the weakness of men (and other races), and the importance of not fighting alone. The best example being the events on the edge of Mount Doom. Tolkien made a strong point in that nobody is perfect, neither perfectly good nor perfectly evil.The film completely ignores this and simplifies things to pure black and white. There's good, and there's evil, with nothing in-between , no shades of grey.And that I think is sad.All that being said, the film has a few but important qualities, and that's the great camera work, the excellent acting and the stunning scenery - CG-scenery too.The rest of the CG is not that interesting, except for Shelob the spider who really makes up for it. The sound of a whole cinema audience simultaneously gasping in horror as ... Well, I won't spoil for those who haven't read the books. But wow. So, in the end, despite all its flaws, I recommend seeing this film. But go see it now, on the big screen. It won't be worth your time on TV.
                
                    5 out of 7 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"146"," Tried Way Too Hard To Be Profound
","rbueing","22 February 2004","
            
            9/10
            
    ","
                The high rating of this movie baffles me. While it had superb special effects and above average acting, it failed miserably in telling the story. I was extremely disappointed. I adored the first film in the trilogy, understanding that you cannot include everything in a movie that is in a book. The second film was also excellent, although it began to try too hard to be important and profound. This last installment was intensely boring at times as it strived to be profound. This could have been a great movie, as it so often depicted scenes according to my imagination. Unfortunately, while describing the world it lost the essence of the story. The movie seemed to lose its way not only with pace, but with its heart. This marvelous story of extraordinary effort by the gifted and those less so to face head on an evil of incredible proportions went astray at too many crucial points. Granted it hit the mark in places, but it in others it almost seemed to take the credit from the valiant and place it solely on supernatural and circumstance.
                
                    24 out of 50 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"147"," best film of the decade
","runescapepass","23 November 2006","
            
            10/10
            
    ","
                as you see in the title, you can see it was a great film. i have only had the DVD for 2 weeks and i got a 2 disc DVD for £2.99. wow you might think.well back to the film, and this is a film whose without its amazing and stunning fights/wars, would be a OK film but wouldn't be a classic. when the battles begin, you can't stop watching- even if your mum asks you to tidy up. the scenes with the horses and their warriors galloping is breath taking and makes you want to re enact it as i'm a 13 year old boy, this was a film which you want to re enact and talk about. it fills you with thrill which is a very special thing to do. when people saw this, people were like, ""wow what an amazing film!"" and ""it's so good, i want to see it again and again!"" i think this film was done by the right people and acted by the right people you couldn't image anyone for the roles. Such as aragon's character, Viggo Mortensen matchs that style and his emotions were amazing. his fighting style and knowledge makes him a great character and Viggo Mortensen should of good a dozen awards. before this film, i never heard of Viggo Mortensen and now after his role, i regard him as a brilliant actor.another character who was amazing was gandalf and without him, this film would feel empty. sir ian meleken (sorry for the spelling mistake), his acting was so believable and amazing. but his secret to this as revealed in a episode of extras, his that he thought of what it would be like to be a wizard and well, that give us the great gandalf we know today! i think this film is the best film i have seen in years and it deserved every award. out of ten, i would give this a MASSIVE TEN! thank you!
                
                    18 out of 25 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"148"," Superelf to the rescue...
","BA_Harrison","2 November 2010","
            
            8/10
            
    ","
                I'm a huge fan of Tolkien's The Lord of the Rings, but strangely enough I don't mind too much that liberties have been taken with the original story to suit Peter Jackson's cinematic rendering: I understand and accept that changes are inevitable when adapting such an epic work for the big screen. What I cannot forgive, however, is giving Legolas' superpowers during the Battle of Pelennor Fields and cutting out one of my favourite parts the book—Saruman's fate (I know Christopher Lee feels the same way!).Watching a poorly rendered elf leaping around with impossible ease on a CGI 'oliphaunt' before killing all on board and sliding down the trunk (allowing Gimli to make another wisecrack) is going a step too far in my book, reminding me of the awful digital excesses that were to follow in Jackson's next film, King Kong (shudder); rounding off the film without showing us what happens to Lee's evil white wizard and his slimy pal Grima Wormtongue is an even worse decision, one that leaves fans of the book wondering whether they fell asleep before the end and missed an entire chunk (yeah, yeah, I know this bit is in the extended edition, but I'm talking about the version I paid to see at the cinema!).The Return of the King is still a very impressive effort, with stunning battle scenes, a genuinely creepy giant spider, an army of ghosts, and a thrilling climax that takes place inside an erupting volcano, and I'm grateful to all involved for realising what many considered to be totally un-filmable, but I really wanted the last chapter to be the best of the lot. And it isn't.Oh well, fingers crossed for The Hobbit...
                
                    4 out of 7 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"149"," awards winning epic
","SnoopyStyle","29 September 2016","
            
            8/10
            
    ","
                Frodo Baggins and Samwise Gamgee are guided by Gollum to the darkest of Mordor. Gandalf leads the group to to Isengard where they are surprised to find Merry and Pippin having already defeated Saruman. Pippin touches the crystal ball and Sauron mistakenly assumes that he is the ring bearer. Gandalf and Pippin travel to Gondor's capital Minas Tirith but they find mad Denethor on the throne.The quest comes to an end. There is a ton of CGI and it's state of the art. It is fully deserving of the moniker epic. It comes to a climatic apocalyptic battle at Minas Tirith. Then the movie has to keep going for another hour. That can't be helped but the battle in front of the Black Gate is no more than anti-climatic. Also Aragorn releasing the Dead Men struck me as short-sighted heroism. Sometimes, watching something can shine a different light on the idea. It would be better for the Dead Men to not give Aragorn a choice. This movie broke the Oscars by winning eleven. Technically it is far superior and the story is a compelling epic.
                
                    7 out of 15 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
